run_id,geometry,family,n_atoms,device_profile,replicate,omega_mhz,delta_initial_mhz,delta_target_mhz,delta_over_omega,sweep_ns,hold_ns,fall_ns,sweep_rate_mhz_per_us,blockade_ratio,method,samples,unique_basins,shannon_entropy_nats,normalized_entropy,collision_probability_p_q1,effective_basin_count,top_basin_mass,best_energy_mhz,mean_energy_mhz,energy_std_mhz,mean_replica_overlap,mean_pairwise_hamming,negative_overlap_mass,low_energy_threshold_mhz,low_energy_mass,unique_low_energy_basins,reference_minima,reference_basin_coverage,effective_basin_count_ci_lower,effective_basin_count_ci_upper,normalized_entropy_ci_lower,normalized_entropy_ci_upper,mean_energy_mhz_ci_lower,mean_energy_mhz_ci_upper,mean_pairwise_hamming_ci_lower,mean_pairwise_hamming_ci_upper,low_energy_mass_ci_lower,low_energy_mass_ci_upper,wall_seconds,generation_energy_evaluations,descent_flip_cost_evaluations
g00_p003_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,900,200,300,10.0,1.2805351750774867,simulated_annealing,300.0,9,2.0471568915088296,0.9317012528553987,0.15533333333333332,6.437768240343348,0.30333333333333334,-13.006005166386513,-11.789671675079886,0.8110230350239481,0.2292395061728395,3.4684222222222223,0.35142222222222225,-12.756005166386513,0.30333333333333334,1,9,1.0,5.347259993696753,7.0136437063643084,0.8870726670687044,0.9485280168031819,-11.898599638816172,-11.72176902708832,3.306391111111111,3.582942777777778,0.26158333333333333,0.36174999999999996,0.7877107869999236,108000,81
g00_p004_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,6.0,3.0,300,0,300,40.0,1.2805351750774867,quantum,300.0,9,1.9572594277192128,0.8907871538976112,0.16755555555555557,5.968169761273209,0.29,-28.006005166386508,-24.674920811400654,2.130608478142767,0.30419259259259257,3.1311333333333335,0.1876888888888889,-27.756005166386508,0.29,1,9,1.0,5.254283646283785,6.548200659733396,0.8468387348177828,0.9129114669757752,-24.920978825129822,-24.438858306154497,2.9685727777777777,3.237376666666667,0.23983333333333334,0.34175,0.037399174000711355,,1017
g00_p004_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,6.0,3.0,300,0,300,40.0,1.2805351750774867,uniform_random,300.0,9,2.0344038105230666,0.9258970755686036,0.14622222222222223,6.838905775075988,0.22,-28.006005166386508,-23.97085770568356,1.6308089711991531,0.2625382716049383,3.3185777777777776,0.19202222222222226,-27.756005166386508,0.14,1,9,1.0,6.007702409947559,7.331994972573814,0.8887234295103845,0.9467269613013045,-24.169960888470374,-23.799104373972902,3.205552777777778,3.3981938888888887,0.10333333333333333,0.18333333333333332,0.0035474140004225774,0,7596
g00_p004_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,6.0,3.0,300,0,300,40.0,1.2805351750774867,simulated_annealing,300.0,9,1.7439525334939368,0.7937070026807173,0.27182222222222224,3.6788750817527793,0.4866666666666667,-28.006005166386508,-25.57345536325024,2.370449962848797,0.33796543209876545,2.9791555555555553,0.3323111111111111,-27.756005166386508,0.4866666666666667,1,9,1.0,3.11368135713464,4.351626607057149,0.7304433631292744,0.8372317214370513,-25.81789083505378,-25.308091804624194,2.7462427777777774,3.190215555555555,0.43,0.5384166666666667,0.7845170170003257,108000,81
g00_p004_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,6.0,3.0,300,0,300,40.0,1.2805351750774867,quantum,300.0,9,1.9791628668387384,0.9007558386399237,0.15964444444444445,6.26391982182628,0.2633333333333333,-28.006005166386508,-24.554381148027158,2.0651559433328233,0.2935654320987654,3.1789555555555555,0.19026666666666667,-27.756005166386508,0.2633333333333333,1,9,1.0,5.456366243245554,6.7341518257411055,0.8602735789954092,0.9196819633038661,-24.81141600061623,-24.28400118090001,3.042151111111111,3.268025555555555,0.20491666666666666,0.3171666666666665,0.036789626000427234,,1260
g00_p004_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,6.0,3.0,300,0,300,40.0,1.2805351750774867,uniform_random,300.0,9,1.9789389192533364,0.9006539157014531,0.1560666666666667,6.40751815463477,0.22,-28.006005166386508,-23.69751606597441,1.2733387232616815,0.27034074074074077,3.2834666666666665,0.1696888888888889,-27.756005166386508,0.08,1,9,1.0,5.750423102522472,6.82384432117882,0.866881043810534,0.9213822914107339,-23.80528321107739,-23.575132031355974,3.185225,3.363401111111111,0.05333333333333334,0.10333333333333333,0.003950020000047516,0,7632
g00_p004_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,6.0,3.0,300,0,300,40.0,1.2805351750774867,simulated_annealing,300.0,9,1.781612358260898,0.8108467275661079,0.2576222222222222,3.881652721469853,0.47,-28.006005166386508,-25.487490583720554,2.373921282393759,0.3205679012345679,3.057444444444444,0.34515555555555555,-27.756005166386508,0.47,1,9,1.0,3.3688835485104236,4.5958118004396855,0.7631488170690106,0.8520484270336072,-25.698281771855214,-25.19054522557303,2.8502572222222224,3.26259,0.4098333333333333,0.5133333333333333,0.785606278999694,108000,81
g00_p005_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,6.0,3.0,300,200,300,40.0,1.2805351750774867,quantum,300.0,9,1.611728640143271,0.7335293154681677,0.2915111111111111,3.4304009757585,0.49333333333333335,-28.006005166386508,-25.636630449020107,2.3386708517330046,0.44199506172839503,2.5110222222222225,0.12340000000000001,-27.756005166386508,0.49333333333333335,1,9,1.0,3.0401662400730025,4.044499853077825,0.6860243900169087,0.7828373415150555,-25.824011454285632,-25.335188484925585,2.338268333333333,2.712702777777778,0.43,0.5335,0.044851866000499285,,1053
g00_p005_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,6.0,3.0,300,200,300,40.0,1.2805351750774867,uniform_random,300.0,9,2.0344038105230666,0.9258970755686036,0.14622222222222223,6.838905775075988,0.22,-28.006005166386508,-23.97085770568356,1.6308089711991531,0.2625382716049383,3.3185777777777776,0.19202222222222226,-27.756005166386508,0.14,1,9,1.0,6.007702409947559,7.331994972573814,0.8887234295103845,0.9467269613013045,-24.169960888470374,-23.799104373972902,3.205552777777778,3.3981938888888887,0.10333333333333333,0.18333333333333332,0.0035474140004225774,0,7596
g00_p005_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,6.0,3.0,300,200,300,40.0,1.2805351750774867,simulated_annealing,300.0,9,1.7439525334939368,0.7937070026807173,0.27182222222222224,3.6788750817527793,0.4866666666666667,-28.006005166386508,-25.57345536325024,2.370449962848797,0.33796543209876545,2.9791555555555553,0.3323111111111111,-27.756005166386508,0.4866666666666667,1,9,1.0,3.11368135713464,4.351626607057149,0.7304433631292744,0.8372317214370513,-25.81789083505378,-25.308091804624194,2.7462427777777774,3.190215555555555,0.43,0.5384166666666667,0.7845170170003257,108000,81
g00_p005_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,6.0,3.0,300,200,300,40.0,1.2805351750774867,quantum,300.0,9,1.6233956314060924,0.738839192020234,0.2818,3.5486160397444997,0.48,-28.006005166386508,-25.5693822865528,2.3421101963829796,0.4382913580246913,2.527688888888889,0.10931111111111111,-27.756005166386508,0.48,1,9,1.0,3.041729443821968,4.059726332301476,0.6919934833869378,0.7738156323947417,-25.828542916862276,-25.327261808871754,2.340003333333333,2.6760327777777775,0.42825,0.5350833333333332,0.04509180000059132,,936
g00_p005_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,6.0,3.0,300,200,300,40.0,1.2805351750774867,uniform_random,300.0,9,1.9789389192533364,0.9006539157014531,0.1560666666666667,6.40751815463477,0.22,-28.006005166386508,-23.69751606597441,1.2733387232616815,0.27034074074074077,3.2834666666666665,0.1696888888888889,-27.756005166386508,0.08,1,9,1.0,5.750423102522472,6.82384432117882,0.866881043810534,0.9213822914107339,-23.80528321107739,-23.575132031355974,3.185225,3.363401111111111,0.05333333333333334,0.10333333333333333,0.003950020000047516,0,7632
