run_id,geometry,family,n_atoms,device_profile,replicate,omega_mhz,delta_initial_mhz,delta_target_mhz,delta_over_omega,sweep_ns,hold_ns,fall_ns,sweep_rate_mhz_per_us,blockade_ratio,baseline,jensen_shannon_bits,total_variation,hellinger,support_jaccard,candidate_mass_on_reference_support,reference_mass_on_candidate_support,quantum_samples,quantum_unique_basins,quantum_shannon_entropy_nats,quantum_normalized_entropy,quantum_collision_probability_p_q1,quantum_effective_basin_count,quantum_top_basin_mass,quantum_best_energy_mhz,quantum_mean_energy_mhz,quantum_energy_std_mhz,quantum_mean_replica_overlap,quantum_mean_pairwise_hamming,quantum_negative_overlap_mass,quantum_low_energy_threshold_mhz,quantum_low_energy_mass,quantum_unique_low_energy_basins,quantum_reference_minima,quantum_reference_basin_coverage,baseline_samples,baseline_unique_basins,baseline_shannon_entropy_nats,baseline_normalized_entropy,baseline_collision_probability_p_q1,baseline_effective_basin_count,baseline_top_basin_mass,baseline_best_energy_mhz,baseline_mean_energy_mhz,baseline_energy_std_mhz,baseline_mean_replica_overlap,baseline_mean_pairwise_hamming,baseline_negative_overlap_mass,baseline_low_energy_threshold_mhz,baseline_low_energy_mass,baseline_unique_low_energy_basins,baseline_reference_minima,baseline_reference_basin_coverage
g00_p005_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,6.0,3.0,300,200,300,40.0,1.2805351750774867,uniform_random,0.1291130713206177,0.37,0.3029032733351433,1.0,1.0,1.0,300.0,9,1.611728640143271,0.7335293154681677,0.2915111111111111,3.4304009757585,0.49333333333333335,-28.006005166386508,-25.636630449020107,2.3386708517330046,0.44199506172839503,2.5110222222222225,0.12340000000000001,-27.756005166386508,0.49333333333333335,1,9,1.0,300.0,9,2.0344038105230666,0.9258970755686036,0.14622222222222223,6.838905775075988,0.22,-28.006005166386508,-23.97085770568356,1.6308089711991531,0.2625382716049383,3.3185777777777776,0.19202222222222226,-27.756005166386508,0.14,1,9,1.0
g00_p005_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,6.0,3.0,300,200,300,40.0,1.2805351750774867,simulated_annealing,0.05824470942409026,0.1733333333333333,0.2044735274399635,1.0,1.0,1.0,300.0,9,1.611728640143271,0.7335293154681677,0.2915111111111111,3.4304009757585,0.49333333333333335,-28.006005166386508,-25.636630449020107,2.3386708517330046,0.44199506172839503,2.5110222222222225,0.12340000000000001,-27.756005166386508,0.49333333333333335,1,9,1.0,300.0,9,1.7439525334939368,0.7937070026807173,0.27182222222222224,3.6788750817527793,0.4866666666666667,-28.006005166386508,-25.57345536325024,2.370449962848797,0.33796543209876545,2.9791555555555553,0.3323111111111111,-27.756005166386508,0.4866666666666667,1,9,1.0
g00_p005_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,6.0,3.0,300,200,300,40.0,1.2805351750774867,uniform_random,0.18177875143042915,0.41333333333333333,0.36380073729209983,1.0,1.0,1.0,300.0,9,1.6233956314060924,0.738839192020234,0.2818,3.5486160397444997,0.48,-28.006005166386508,-25.5693822865528,2.3421101963829796,0.4382913580246913,2.527688888888889,0.10931111111111111,-27.756005166386508,0.48,1,9,1.0,300.0,9,1.9789389192533364,0.9006539157014531,0.1560666666666667,6.40751815463477,0.22,-28.006005166386508,-23.69751606597441,1.2733387232616815,0.27034074074074077,3.2834666666666665,0.1696888888888889,-27.756005166386508,0.08,1,9,1.0
g00_p005_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,6.0,3.0,300,200,300,40.0,1.2805351750774867,simulated_annealing,0.068542166232922,0.19666666666666666,0.22193999193514083,1.0,1.0,1.0,300.0,9,1.6233956314060924,0.738839192020234,0.2818,3.5486160397444997,0.48,-28.006005166386508,-25.5693822865528,2.3421101963829796,0.4382913580246913,2.527688888888889,0.10931111111111111,-27.756005166386508,0.48,1,9,1.0,300.0,9,1.781612358260898,0.8108467275661079,0.2576222222222222,3.881652721469853,0.47,-28.006005166386508,-25.487490583720554,2.373921282393759,0.3205679012345679,3.057444444444444,0.34515555555555555,-27.756005166386508,0.47,1,9,1.0
g00_p006_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,6.0,3.0,900,0,300,13.333333333333332,1.2805351750774867,uniform_random,0.2358682020019557,0.5333333333333332,0.4122891329520249,1.0,1.0,1.0,300.0,9,1.2191240060036383,0.5548472461934818,0.47344444444444445,2.112180239380427,0.6733333333333333,-28.006005166386508,-26.476573662731532,2.196423217324277,0.5993382716049382,1.802977777777778,0.08166666666666668,-27.756005166386508,0.6733333333333333,1,9,1.0,300.0,9,2.0344038105230666,0.9258970755686036,0.14622222222222223,6.838905775075988,0.22,-28.006005166386508,-23.97085770568356,1.6308089711991531,0.2625382716049383,3.3185777777777776,0.19202222222222226,-27.756005166386508,0.14,1,9,1.0
g00_p006_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,6.0,3.0,900,0,300,13.333333333333332,1.2805351750774867,simulated_annealing,0.07413671643223085,0.22666666666666666,0.23355715174627764,1.0,1.0,1.0,300.0,9,1.2191240060036383,0.5548472461934818,0.47344444444444445,2.112180239380427,0.6733333333333333,-28.006005166386508,-26.476573662731532,2.196423217324277,0.5993382716049382,1.802977777777778,0.08166666666666668,-27.756005166386508,0.6733333333333333,1,9,1.0,300.0,9,1.7439525334939368,0.7937070026807173,0.27182222222222224,3.6788750817527793,0.4866666666666667,-28.006005166386508,-25.57345536325024,2.370449962848797,0.33796543209876545,2.9791555555555553,0.3323111111111111,-27.756005166386508,0.4866666666666667,1,9,1.0
g00_p006_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,6.0,3.0,900,0,300,13.333333333333332,1.2805351750774867,uniform_random,0.3493168876071167,0.64,0.5083650951723907,1.0,1.0,1.0,300.0,9,1.1089330458137894,0.5046971790012434,0.5324444444444445,1.8781302170283805,0.72,-28.006005166386508,-26.695531854737915,2.101927050957259,0.6415703703703703,1.6129333333333333,0.08397777777777779,-27.756005166386508,0.72,1,9,1.0,300.0,9,1.9789389192533364,0.9006539157014531,0.1560666666666667,6.40751815463477,0.22,-28.006005166386508,-23.69751606597441,1.2733387232616815,0.27034074074074077,3.2834666666666665,0.1696888888888889,-27.756005166386508,0.08,1,9,1.0
g00_p006_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,6.0,3.0,900,0,300,13.333333333333332,1.2805351750774867,simulated_annealing,0.08309767209619406,0.2566666666666667,0.2454393353233341,1.0,1.0,1.0,300.0,9,1.1089330458137894,0.5046971790012434,0.5324444444444445,1.8781302170283805,0.72,-28.006005166386508,-26.695531854737915,2.101927050957259,0.6415703703703703,1.6129333333333333,0.08397777777777779,-27.756005166386508,0.72,1,9,1.0,300.0,9,1.781612358260898,0.8108467275661079,0.2576222222222222,3.881652721469853,0.47,-28.006005166386508,-25.487490583720554,2.373921282393759,0.3205679012345679,3.057444444444444,0.34515555555555555,-27.756005166386508,0.47,1,9,1.0
g00_p007_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,6.0,3.0,900,200,300,13.333333333333332,1.2805351750774867,uniform_random,0.20684709294651327,0.5,0.38523401113597056,1.0,1.0,1.0,300.0,9,1.3559909673192558,0.6171380847028283,0.4297111111111111,2.3271448518384443,0.64,-28.006005166386508,-26.31162243445272,2.2602794656446137,0.5388543209876544,2.075155555555555,0.15102222222222222,-27.756005166386508,0.64,1,9,1.0,300.0,9,2.0344038105230666,0.9258970755686036,0.14622222222222223,6.838905775075988,0.22,-28.006005166386508,-23.97085770568356,1.6308089711991531,0.2625382716049383,3.3185777777777776,0.19202222222222226,-27.756005166386508,0.14,1,9,1.0
g00_p007_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,6.0,3.0,900,200,300,13.333333333333332,1.2805351750774867,simulated_annealing,0.04032930146092198,0.18,0.16916136978802304,1.0,1.0,1.0,300.0,9,1.3559909673192558,0.6171380847028283,0.4297111111111111,2.3271448518384443,0.64,-28.006005166386508,-26.31162243445272,2.2602794656446137,0.5388543209876544,2.075155555555555,0.15102222222222222,-27.756005166386508,0.64,1,9,1.0,300.0,9,1.7439525334939368,0.7937070026807173,0.27182222222222224,3.6788750817527793,0.4866666666666667,-28.006005166386508,-25.57345536325024,2.370449962848797,0.33796543209876545,2.9791555555555553,0.3323111111111111,-27.756005166386508,0.4866666666666667,1,9,1.0
g00_p007_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,6.0,3.0,900,200,300,13.333333333333332,1.2805351750774867,uniform_random,0.3385710844071132,0.6233333333333333,0.5000246660042564,1.0,1.0,1.0,300.0,9,1.1977648686720657,0.5451262838704282,0.5044222222222221,1.9824661879377952,0.7,-28.006005166386508,-26.59466594148541,2.156729250837655,0.5927703703703704,1.8325333333333331,0.1521777777777778,-27.756005166386508,0.7,1,9,1.0,300.0,9,1.9789389192533364,0.9006539157014531,0.1560666666666667,6.40751815463477,0.22,-28.006005166386508,-23.69751606597441,1.2733387232616815,0.27034074074074077,3.2834666666666665,0.1696888888888889,-27.756005166386508,0.08,1,9,1.0
g00_p007_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,6.0,3.0,900,200,300,13.333333333333332,1.2805351750774867,simulated_annealing,0.06069995468862798,0.2533333333333333,0.2073412812157409,1.0,1.0,1.0,300.0,9,1.1977648686720657,0.5451262838704282,0.5044222222222221,1.9824661879377952,0.7,-28.006005166386508,-26.59466594148541,2.156729250837655,0.5927703703703704,1.8325333333333331,0.1521777777777778,-27.756005166386508,0.7,1,9,1.0,300.0,9,1.781612358260898,0.8108467275661079,0.2576222222222222,3.881652721469853,0.47,-28.006005166386508,-25.487490583720554,2.373921282393759,0.3205679012345679,3.057444444444444,0.34515555555555555,-27.756005166386508,0.47,1,9,1.0
